NAME                           ZONE
c4a-highmem-32-lssd            us-central1-a
c4a-highmem-4                  us-central1-a
c4a-highmem-4-lssd             us-central1-a
c4a-highmem-48                 us-central1-a
c4a-highmem-48-lssd            us-central1-a
c4a-highmem-64                 us-central1-a
c4a-highmem-64-lssd            us-central1-a
c4a-highmem-72                 us-central1-a
c4a-highmem-72-lssd            us-central1-a
c4a-highmem-8                  us-central1-a
c4a-highmem-8-lssd             us-central1-a
c4a-standard-1                 us-central1-a
c4a-standard-16                us-central1-a
c4a-standard-16-lssd           us-central1-a
c4a-standard-2                 us-central1-a
c4a-standard-32                us-central1-a
c4a-standard-32-lssd           us-central1-a
c4a-standard-4                 us-central1-a
c4a-standard-4-lssd            us-central1-a
c4a-standard-48                us-central1-a
c4a-standard-48-lssd           us-central1-a
c4a-standard-64                us-central1-a
c4a-standard-64-lssd           us-central1-a
c4a-standard-72                us-central1-a
c4a-standard-72-lssd           us-central1-a
c4a-standard-8                 us-central1-a
c4a-standard-8-lssd            us-central1-a
c4d-highcpu-16                 us-central1-a
c4d-highcpu-192                us-central1-a
c4d-highcpu-2                  us-central1-a
c4d-highcpu-32                 us-central1-a
c4d-highcpu-384                us-central1-a
c4d-highcpu-4                  us-central1-a
c4d-highcpu-48                 us-central1-a
c4d-highcpu-64                 us-central1-a
c4d-highcpu-8                  us-central1-a
c4d-highcpu-96                 us-central1-a
c4d-highmem-16                 us-central1-a
c4d-highmem-16-lssd            us-central1-a
c4d-highmem-192                us-central1-a
c4d-highmem-192-lssd           us-central1-a
c4d-highmem-2                  us-central1-a
c4d-highmem-32                 us-central1-a
c4d-highmem-32-lssd            us-central1-a
c4d-highmem-384                us-central1-a
c4d-highmem-384-lssd           us-central1-a
c4d-highmem-4                  us-central1-a
c4d-highmem-48                 us-central1-a
c4d-highmem-48-lssd            us-central1-a
c4d-highmem-64                 us-central1-a
c4d-highmem-64-lssd            us-central1-a
c4d-highmem-8                  us-central1-a
c4d-highmem-8-lssd             us-central1-a
c4d-highmem-96                 us-central1-a
c4d-highmem-96-lssd            us-central1-a
c4d-standard-16                us-central1-a
c4d-standard-16-lssd           us-central1-a
c4d-standard-192               us-central1-a
c4d-standard-192-lssd          us-central1-a
c4d-standard-2                 us-central1-a
c4d-standard-32                us-central1-a
c4d-standard-32-lssd           us-central1-a
c4d-standard-384               us-central1-a
c4d-standard-384-lssd          us-central1-a
c4d-standard-4                 us-central1-a
c4d-standard-48                us-central1-a
c4d-standard-48-lssd           us-central1-a
c4d-standard-64                us-central1-a
c4d-standard-64-lssd           us-central1-a
c4d-standard-8                 us-central1-a
c4d-standard-8-lssd            us-central1-a
c4d-standard-96                us-central1-a
c4d-standard-96-lssd           us-central1-a
ct3-hightpu-4t                 us-central1-a
ct3p-hightpu-4t                us-central1-a
ct5l-hightpu-1t                us-central1-a
ct5l-hightpu-4t                us-central1-a
ct5l-hightpu-8t                us-central1-a
ct5lp-hightpu-1t               us-central1-a
ct5lp-hightpu-4t               us-central1-a
ct5lp-hightpu-8t               us-central1-a
ct5p-hightpu-4t                us-central1-a
e2-highcpu-16                  us-central1-a
e2-highcpu-2                   us-central1-a
e2-highcpu-32                  us-central1-a
e2-highcpu-4                   us-central1-a
e2-highcpu-8                   us-central1-a
e2-highmem-16                  us-central1-a
e2-highmem-2                   us-central1-a
e2-highmem-4                   us-central1-a
e2-highmem-8                   us-central1-a
e2-medium                      us-central1-a
e2-micro                       us-central1-a
e2-small                       us-central1-a
e2-standard-16                 us-central1-a
e2-standard-2                  us-central1-a
e2-standard-32                 us-central1-a
e2-standard-4                  us-central1-a
e2-standard-8                  us-central1-a
f1-micro                       us-central1-a
g1-small                       us-central1-a
g2-standard-12                 us-central1-a
g2-standard-16                 us-central1-a
g2-standard-24                 us-central1-a
g2-standard-32                 us-central1-a
g2-standard-4                  us-central1-a
g2-standard-48                 us-central1-a
g2-standard-8                  us-central1-a
g2-standard-96                 us-central1-a
h3-standard-88                 us-central1-a
m1-megamem-96                  us-central1-a
m1-ultramem-160                us-central1-a
m1-ultramem-40                 us-central1-a
m1-ultramem-80                 us-central1-a
m2-hypermem-416                us-central1-a
m2-megamem-416                 us-central1-a
m2-ultramem-208                us-central1-a
m2-ultramem-416                us-central1-a
m3-megamem-128                 us-central1-a
m3-megamem-64                  us-central1-a
m3-ultramem-128                us-central1-a
m3-ultramem-32                 us-central1-a
m3-ultramem-64                 us-central1-a
m4-megamem-112                 us-central1-a
m4-megamem-224                 us-central1-a
m4-megamem-28                  us-central1-a
m4-megamem-56                  us-central1-a
m4-ultramem-112                us-central1-a
m4-ultramem-224                us-central1-a
m4-ultramem-56                 us-central1-a
n1-highcpu-16                  us-central1-a
n1-highcpu-2                   us-central1-a
n1-highcpu-32                  us-central1-a
n1-highcpu-4                   us-central1-a
n1-highcpu-64                  us-central1-a
n1-highcpu-8                   us-central1-a
n1-highcpu-96                  us-central1-a
n1-highmem-16                  us-central1-a
n1-highmem-2                   us-central1-a
n1-highmem-32                  us-central1-a
n1-highmem-4                   us-central1-a
n1-highmem-64                  us-central1-a
n1-highmem-8                   us-central1-a
n1-highmem-96                  us-central1-a
n1-megamem-96                  us-central1-a
n1-standard-1                  us-central1-a
n1-standard-16                 us-central1-a
n1-standard-2                  us-central1-a
n1-standard-32                 us-central1-a
n1-standard-4                  us-central1-a
n1-standard-64                 us-central1-a
n1-standard-8                  us-central1-a
n1-standard-96                 us-central1-a
n1-ultramem-160                us-central1-a
n1-ultramem-40                 us-central1-a
n1-ultramem-80                 us-central1-a
n2-highcpu-16                  us-central1-a
n2-highcpu-2                   us-central1-a
n2-highcpu-32                  us-central1-a
n2-highcpu-4                   us-central1-a
n2-highcpu-48                  us-central1-a
n2-highcpu-64                  us-central1-a
n2-highcpu-8                   us-central1-a
n2-highcpu-80                  us-central1-a
n2-highcpu-96                  us-central1-a
n2-highmem-128                 us-central1-a
n2-highmem-16                  us-central1-a
n2-highmem-2                   us-central1-a
n2-highmem-32                  us-central1-a
n2-highmem-4                   us-central1-a
n2-highmem-48                  us-central1-a
n2-highmem-64                  us-central1-a
n2-highmem-8                   us-central1-a
n2-highmem-80                  us-central1-a
n2-highmem-96                  us-central1-a
n2-standard-128                us-central1-a
n2-standard-16                 us-central1-a
n2-standard-2                  us-central1-a
n2-standard-32                 us-central1-a
n2-standard-4                  us-central1-a
n2-standard-48                 us-central1-a
n2-standard-64                 us-central1-a
n2-standard-8                  us-central1-a
n2-standard-80                 us-central1-a
n2-standard-96                 us-central1-a
n2d-highcpu-128                us-central1-a
n2d-highcpu-16                 us-central1-a
n2d-highcpu-2                  us-central1-a
n2d-highcpu-224                us-central1-a
n2d-highcpu-32                 us-central1-a
n2d-highcpu-4                  us-central1-a
